NONVERBAL SUBTESTS,ACTIVITIES,VERBAL SUBTESTS,ACTIVITIES
Fluid reasoning,Sequence/patterns,Fluid reasoning,Verbal Absurdities
,Matrix Reasoning,,Object sorting
Knowledge,Procedural Knowledge,Knowledge,Vocabulary
,Picture Absurdities/Whatâ€™s Missing,,ID body parts
Quantitative Reasoning,Number ID,Quantitative Reasoning,Counting
,Addition (pictorially),,Addition
,Estimation,,
,Comparisons,,
Visual-Spatial,"Object assembly, Mighty Minds",Visual-Spatial,Position/Direction
Working Memory,Tracking,Working Memory,Memory for Sentences
,Block tapping,,Last word